fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
84,HEX0000084,Oceano,Marina,Baja California,4,0.387446910142899,0.0968617275357246,0.0940843820571899,0.0997456237673759
85,HEX0000085,Oceano,Marina,Baja California,5,0.451739743351936,0.0903479486703873,0.0897162184119225,0.0911540389060974
86,HEX0000086,Oceano,Marina,Baja California,5,0.42812217772007,0.085624435544014,0.0849219188094139,0.0867731645703316
87,HEX0000087,Oceano,Marina,Baja California,4,0.334840849041939,0.0837102122604847,0.0830327495932579,0.08481465280056
88,HEX0000088,Oceano,Marina,Baja California,6,0.520280137658119,0.0867133562763532,0.085481271147728,0.0877713412046432
89,HEX0000089,Oceano,Marina,Baja California,5,0.430909335613251,0.0861818671226501,0.0844360217452049,0.0879455059766769
90,HEX0000090,Oceano,Marina,Baja California,4,0.35207661241293,0.0880191531032324,0.0869093239307404,0.0901206061244011
91,HEX0000091,Oceano,Marina,Baja California,5,0.450633980333805,0.090126796066761,0.0886638835072517,0.09183519333601
92,HEX0000092,Oceano,Marina,Baja California,5,0.458059519529343,0.0916119039058685,0.0902402400970459,0.0937192887067795
93,HEX0000093,Oceano,Marina,Baja California,4,0.371396072208881,0.0928490180522203,0.091767430305481,0.0945556163787842
94,HEX0000094,Oceano,Marina,Baja California,5,0.46303553134203,0.0926071062684059,0.0897097811102867,0.095750093460083
95,HEX0000095,Oceano,Marina,Baja California,5,0.445555202662945,0.089111040532589,0.0872010067105293,0.0920281112194061
96,HEX0000096,Oceano,Marina,Baja California,4,0.358623676002026,0.0896559190005064,0.0887474939227104,0.0904094949364662
97,HEX0000097,Oceano,Marina,Baja California,6,0.549781456589699,0.0916302427649498,0.0899903774261475,0.093136303126812
98,HEX0000098,Oceano,Marina,Baja California,5,0.448398299515247,0.0896796599030495,0.0886586159467697,0.090916596353054
99,HEX0000099,Oceano,Marina,Baja California,4,0.348296895623207,0.0870742239058018,0.0837908461689949,0.0898082256317139
100,HEX0000100,Oceano,Marina,Baja California,4,0.356532074511051,0.0891330186277628,0.0886643975973129,0.0894357189536095
101,HEX0000101,Oceano,Marina,Baja California,4,0.37219949811697,0.0930498745292425,0.0904960110783577,0.0943047180771828
102,HEX0000102,Oceano,Marina,Baja California,5,0.476071268320084,0.0952142536640167,0.0938133299350739,0.0963110625743866
103,HEX0000103,Oceano,Marina,Baja California,4,0.404860585927963,0.101215146481991,0.0993978083133698,0.103353872895241
104,HEX0000104,Oceano,Marina,Baja California,5,0.4863435998559,0.09726871997118,0.095694825053215,0.099804475903511
